case,row,column,covariance
miss_replanned_terminal,0,1,0.05529563090561773
miss_replanned_terminal,0,2,-0.011885031642783372
miss_replanned_terminal,0,3,-0.0035695363291462084
miss_replanned_terminal,0,4,0.0027478077885082757
miss_replanned_terminal,0,5,-0.0002841039143841645
miss_replanned_terminal,0,6,-0.00013716462750623247
miss_replanned_terminal,1,0,0.05529563090561773
miss_replanned_terminal,1,1,0.1318762677114571
miss_replanned_terminal,1,2,0.06353371585102152
miss_replanned_terminal,1,3,-0.009425565639442746
miss_replanned_terminal,1,4,-0.0054743565811287
miss_replanned_terminal,1,5,0.0030478869032835214
miss_replanned_terminal,1,6,-0.0001870859188928827
miss_replanned_terminal,2,0,-0.011885031642783372
miss_replanned_terminal,2,1,0.06353371585102152
miss_replanned_terminal,2,2,0.13008948032610368
miss_replanned_terminal,2,3,0.06301288661839755
miss_replanned_terminal,2,4,-0.00892073483455097
miss_replanned_terminal,2,5,-0.005827927974648317
miss_replanned_terminal,2,6,0.0016387618508330688
miss_replanned_terminal,3,0,-0.0035695363291462084
miss_replanned_terminal,3,1,-0.009425565639442746
miss_replanned_terminal,3,2,0.06301288661839755
miss_replanned_terminal,3,3,0.13001282985503348
miss_replanned_terminal,3,4,0.0628885782127151
miss_replanned_terminal,3,5,-0.008953406544404796
miss_replanned_terminal,3,6,-0.0021226263604022105
miss_replanned_terminal,4,0,0.0027478077885082757
miss_replanned_terminal,4,1,-0.0054743565811287
miss_replanned_terminal,4,2,-0.00892073483455097
miss_replanned_terminal,4,3,0.0628885782127151
miss_replanned_terminal,4,4,0.12977127828949386
miss_replanned_terminal,4,5,0.06509591014353422
miss_replanned_terminal,4,6,-0.0070722160660531275
miss_replanned_terminal,5,0,-0.0002841039143841645
miss_replanned_terminal,5,1,0.0030478869032835214
miss_replanned_terminal,5,2,-0.005827927974648317
miss_replanned_terminal,5,3,-0.008953406544404796
miss_replanned_terminal,5,4,0.06509591014353422
miss_replanned_terminal,5,5,0.12459963836642063
miss_replanned_terminal,5,6,0.03289971482929832
miss_replanned_terminal,6,0,-0.00013716462750623247
miss_replanned_terminal,6,1,-0.0001870859188928827
miss_replanned_terminal,6,2,0.0016387618508330688
miss_replanned_terminal,6,3,-0.0021226263604022105
miss_replanned_terminal,6,4,-0.0070722160660531275
miss_replanned_terminal,6,5,0.03289971482929832
miss_replanned_terminal,6,6,0.1012558241754572
